id,kind,status,lean_declarations
prose:paper-finite-exact-certificate,prose,proved,VennDiagrams.Certification.PaperSignature.finite_examples_exact_certificate|VennDiagrams.Certification.PaperSignature.finite_sufficiency_and_lr_certificate
prose:paper-procedure-certificate,prose,proved,VennDiagrams.Certification.PaperSignature.procedure_examples_certificate|VennDiagrams.packedLowerTailLRPValueProcedure_preserves_sufficiency|VennDiagrams.Certification.PaperSignature.packed_e5_e6_lr_pvalue_separation|VennDiagrams.packedPosteriorProcedure_preserves_likelihood|VennDiagrams.packedConfidenceProcedure_output_nonempty|VennDiagrams.mem_packedUMVUEOutput_iff|VennDiagrams.lowerTailLRPValue_strict_rejection_bound
prose:packed-inference-universe,prose,defined,VennDiagrams.PackedFiniteInferenceBase|VennDiagrams.PackedFiniteInferenceBase.likelihood|VennDiagrams.PackedFiniteInferenceBase.likelihoodFamily|VennDiagrams.PackedFiniteInferenceBase.asInferenceBase
prose:packed-outcome-codes,prose,defined,VennDiagrams.PackedFiniteInferenceBase|VennDiagrams.finiteDirectionalConditionalityPair|VennDiagrams.Certification.PaperSignature.PackedRelationExample.e0OutcomeCode|VennDiagrams.Certification.PaperSignature.PackedRelationExample.e0OutcomeCode_injective
prose:exact-finite-sufficiency-pair,prose,defined,VennDiagrams.FiniteMinimalSufficient|VennDiagrams.finiteSufficiencyPair|VennDiagrams.PackedFiniteStatistic|VennDiagrams.packedFiniteSufficiencyRelation
prose:exact-finite-conditionality-pair,prose,defined,VennDiagrams.finiteDirectionalConditionalityPair|VennDiagrams.finiteConditionalityPair|VennDiagrams.packedFiniteConditionalityRelation
prose:packed-sufficiency-equivalence,prose,proved,VennDiagrams.packedFiniteSufficiencyRelation_reflexive|VennDiagrams.packedFiniteSufficiencyRelation_symmetric|VennDiagrams.packedFiniteSufficiencyRelation_transitive|VennDiagrams.packedFiniteSufficiencyRelation_isEquivalence
prose:packed-conditionality-structure,prose,proved,VennDiagrams.packedFiniteConditionalityRelation_reflexive|VennDiagrams.packedFiniteConditionalityRelation_symmetric|VennDiagrams.packedFiniteConditionalityRelation_le_likelihoodRelation|VennDiagrams.Certification.PaperSignature.packedFiniteConditionalityRelation_not_transitive|VennDiagrams.Certification.PaperSignature.packed_relation_structure_certificate
prose:packed-unit-interval-pvalue,prose,proved,VennDiagrams.packedLowerTailLRPValue|VennDiagrams.packedLowerTailLRPValue_mem_Icc|VennDiagrams.packedLowerTailLRPValueInUnitInterval|VennDiagrams.packedLowerTailLRPValueProcedure
prose:packed-global-pvalue-preservation,prose,proved,VennDiagrams.packedLowerTailLRPValue_eq_reduced|VennDiagrams.packedLowerTailLRPValueProcedure_preserves_sufficiency
prose:packed-e5-e6-pvalue-separation,prose,proved,VennDiagrams.Certification.PaperSignature.packed_e5_e6_lr_pvalue_separation
prose:reduced-stable-definition,prose,defined,VennDiagrams.ReducedStable.AncillaryEvent|VennDiagrams.ReducedStable.CentralEvent|VennDiagrams.ReducedStable.laminalCell|VennDiagrams.ReducedStable.laminalConditionalPMF|VennDiagrams.packedFiniteReducedStableConditionalityRelation
prose:reduced-stable-laminal-model,prose,proved,VennDiagrams.ReducedStable.centralEvent_univ|VennDiagrams.ReducedStable.centralEvent_compl|VennDiagrams.ReducedStable.centralEvent_inter|VennDiagrams.ReducedStable.centralEvent_finiteIntersection|VennDiagrams.ReducedStable.laminalCell_eq_intersection|VennDiagrams.ReducedStable.laminalCell_central|VennDiagrams.ReducedStable.mem_laminalCell_self|VennDiagrams.ReducedStable.laminalCell_eq_iff|VennDiagrams.ReducedStable.laminalStatistic_ancillary|VennDiagrams.ReducedStable.statistic_eq_of_laminalCell_eq|VennDiagrams.ReducedStable.centralEvent_iff_conditional_invariance|VennDiagrams.ReducedStable.centralEvent_reweighting_invariant|VennDiagrams.ReducedStable.laminalCell_mass_pos|VennDiagrams.ReducedStable.laminalConditionalPMF_nonneg|VennDiagrams.ReducedStable.laminalConditionalPMF_sum_one|VennDiagrams.PackedFiniteStatistic.inducedModel_all_effective
prose:reduced-stable-sufficiency,prose,proved,VennDiagrams.Certification.PaperSignature.reduced_stable_sufficiency|VennDiagrams.packedFiniteSufficiencyRelation_le_reducedStableConditionality|VennDiagrams.ReducedStable.CentralEvent_map_equiv_iff|VennDiagrams.ReducedStable.laminalCell_equiv|VennDiagrams.ReducedStable.laminalConditionalPMF_equiv
prose:reduced-stable-not-conditionality,prose,proved,VennDiagrams.parameterFreeCoinModel|VennDiagrams.packedParameterFreeCoin|VennDiagrams.parameterFreeCoin_minimal|VennDiagrams.parameterFreeCoin_in_sufficiency_not_conditionality|VennDiagrams.finiteDirectionalConditionalityPair_same_code_observation_eq|VennDiagrams.Certification.PaperSignature.reduced_stable_counterexample|VennDiagrams.Certification.PaperSignature.reduced_stable_not_le_conditionality
prose:lr-pvalue-rejection-bound,prose,proved,VennDiagrams.lowerTailLRPValue_superuniform|VennDiagrams.lowerTailLRPValue_strict_rejection_bound
prose:finite-parameter-transfer,prose,proved,VennDiagrams.Certification.PaperSignature.FiniteParameterTransfer.exists_surjection_parameter|VennDiagrams.Certification.PaperSignature.FiniteParameterTransfer.sufficiency_iff|VennDiagrams.Certification.PaperSignature.FiniteParameterTransfer.conditionality_iff|VennDiagrams.Certification.PaperSignature.FiniteParameterTransfer.likelihood_iff|VennDiagrams.Certification.PaperSignature.SampleUniverseLift.joint_strict_witness|VennDiagrams.Certification.PaperSignature.SampleUniverseLift.conditionality_not_sufficiency_witness
prose:singleton-parameter-case,prose,proved,VennDiagrams.Certification.PaperSignature.singleton_parameter_procedure_classes|VennDiagrams.Certification.PaperSignature.packed_procedure_class_strict_iff|VennDiagrams.packed_likelihood_universal_of_subsingleton_parameter|VennDiagrams.packed_constant_minimal_of_subsingleton_parameter|VennDiagrams.packed_sufficiency_universal_of_subsingleton_parameter|VennDiagrams.packed_sufficiency_eq_likelihood_of_subsingleton_parameter|VennDiagrams.parameterFreeCoin_in_sufficiency_not_conditionality
prose:empty-output-boundary,prose,proved,VennDiagrams.Certification.PaperSignature.packed_procedure_class_strict_iff|VennDiagrams.Certification.PaperSignature.procedure_eq_empty_of_isEmpty_output|VennDiagrams.Certification.PaperSignature.preservingClass_eq_of_isEmpty_output
prose:finite-parameter-lr-separation,prose,proved,VennDiagrams.Certification.PaperSignature.finite_lr_pvalue_separation|VennDiagrams.Certification.PaperSignature.FinitePValueTransfer.e5_pvalue|VennDiagrams.Certification.PaperSignature.FinitePValueTransfer.e6_pvalue|VennDiagrams.Certification.PaperSignature.FinitePValueTransfer.pvalue_reparameterize|VennDiagrams.Certification.PaperSignature.FinitePValueTransfer.procedure_in_sufficiency_not_likelihood
prose:evans2013-lemma1,prose,proved,VennDiagrams.Certification.PaperSignature.evans2013_lemma1
prose:evans2013-lemma2,prose,proved,VennDiagrams.Certification.PaperSignature.evans2013_lemma2
prose:evans2013-lemma3,prose,proved,VennDiagrams.Certification.PaperSignature.evans2013_lemma3_packed
prose:evans2013-lemma4,prose,proved,VennDiagrams.Certification.PaperSignature.evans2013_lemma4_packed
prose:evans2013-lemma5,prose,proved,VennDiagrams.Certification.PaperSignature.evans2013_lemma5_packed
prose:evans2013-lemma6,prose,proved,VennDiagrams.Certification.PaperSignature.evans2013_lemma6_packed
prose:evans2013-theorem7,prose,proved,VennDiagrams.Certification.PaperSignature.evans2013_theorem7_packed
prose:evans2013-theorem8,prose,proved,VennDiagrams.Certification.PaperSignature.evans2013_theorem8_packed
prose:evans2013-theorem9,prose,proved,VennDiagrams.Certification.PaperSignature.evans2013_theorem9_packed|VennDiagrams.Certification.PaperSignature.evans2013_full_certificate_packed
prose:evans2013-corollary10,prose,proved,VennDiagrams.Certification.PaperSignature.evans2013_corollary10_packed
